"2020-06-12 21:46:53 [restartedMain] INFO  com.example.demo.DemoApplication -Starting DemoApplication on DongNguyen with PID 10080 (D:\SpringbootLoggingSL4j\target\classes started by Laptop88 in D:\SpringbootLoggingSL4j)
""2020-06-12 21:46:53 [restartedMain] INFO  com.example.demo.DemoApplication -No active profile set, falling back to default profiles: default
""2020-06-12 21:46:53 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor -Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-06-12 21:46:53 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor -For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-06-12 21:46:54 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port(s): 8080 (http)
""2020-06-12 21:46:54 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
""2020-06-12 21:46:54 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/9.0.36]
""2020-06-12 21:46:54 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
""2020-06-12 21:46:54 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 1190 ms
""2020-06-12 21:46:54 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor -Initializing ExecutorService 'applicationTaskExecutor'
""2020-06-12 21:46:54 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
""2020-06-12 21:46:54 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
""2020-06-12 21:46:54 [restartedMain] INFO  com.example.demo.DemoApplication -Started DemoApplication in 2.164 seconds (JVM running for 3.903)
""2020-06-12 21:47:33 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-06-12 21:49:26 [restartedMain] INFO  com.example.demo.DemoApplication -Starting DemoApplication on DongNguyen with PID 4432 (D:\SpringbootLoggingSL4j\target\classes started by Laptop88 in D:\SpringbootLoggingSL4j)
""2020-06-12 21:49:26 [restartedMain] INFO  com.example.demo.DemoApplication -No active profile set, falling back to default profiles: default
""2020-06-12 21:49:26 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor -Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-06-12 21:49:26 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor -For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-06-12 21:49:27 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port(s): 8080 (http)
""2020-06-12 21:49:27 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
""2020-06-12 21:49:27 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/9.0.36]
""2020-06-12 21:49:27 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
""2020-06-12 21:49:27 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 1396 ms
""2020-06-12 21:49:28 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor -Initializing ExecutorService 'applicationTaskExecutor'
""2020-06-12 21:49:28 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
""2020-06-12 21:49:28 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
""2020-06-12 21:49:28 [restartedMain] INFO  com.example.demo.DemoApplication -Started DemoApplication in 2.526 seconds (JVM running for 3.712)
""2020-06-12 21:49:43 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-06-12 21:51:30 [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DongNguyen with PID 9516 (D:\SpringbootLoggingSL4j\target\classes started by Laptop88 in D:\SpringbootLoggingSL4j)
""2020-06-12 21:51:30 [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
""2020-06-12 21:51:30 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-06-12 21:51:30 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-06-12 21:51:31 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2020-06-12 21:51:31 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2020-06-12 21:51:31 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
""2020-06-12 21:51:31 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-06-12 21:51:31 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1182 ms
""2020-06-12 21:51:31 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-06-12 21:51:31 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2020-06-12 21:51:32 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2020-06-12 21:51:32 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 2.338 seconds (JVM running for 3.354)
""2020-06-12 21:51:45 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
"
